nodes,x,y
0,1027.2184687632189,313.8199366340398
1,1039.8885077768668,192.88119078853106
2,1046.4773611645103,255.55341850241885
3,1087.9132705704692,317.82069746280155
4,981.6196104351902,299.0440825999322
5,987.1343496942336,340.5304108013468
6,1108.0172914584532,425.27658740306396
7,1012.8836344160873,264.60382722114514
8,1022.372628407134,415.2834741962908
9,-112.32938465643022,579.7329367688742
10,966.6785990255676,297.36548713671334
11,969.0889881434435,398.69895621617565
12,964.7064441188419,324.1421535462341
13,1301.5614352707553,342.08836937036455
14,1006.3540870540094,371.3562059598059
15,1028.239190758276,266.02080573074346
16,1158.143306844512,195.6375766229807
17,977.9335384779472,329.9868584355225
18,973.1998824680238,285.94799069288075
19,979.5047112164955,353.2831081126775
20,978.7381285188762,274.8640643096543
21,1071.9862492848724,340.0198466449734
22,969.9939588560835,340.5190687129454
23,1000.1826198520497,257.60675729372286
24,1019.4865153201129,370.15909343308044
25,1156.802510887588,426.0799514509856
26,1070.796397170085,294.58835901285556
27,924.2472910362767,322.3732694688242
28,966.9122611480974,310.33832560971183
29,1215.9179904358598,225.86182456214493
30,992.9818884732828,365.30712845023675
31,1044.8773095716876,269.1452402236804
32,1046.0401145948779,371.5932423381523
33,1124.831297683556,321.92440789601926
34,1148.9509585159196,280.4096636252842
35,994.4002902067882,410.7445217319417
36,928.1099102388999,287.2794180204457
37,1084.433822481947,335.3514397235584
38,1008.0583925352133,215.75162327235202
39,1069.7904611851372,268.5780531551909
40,904.4128483296079,371.95867006838955
41,1017.5250255826121,252.62198166140797
42,1074.7383475130944,325.2901646052021
43,994.3573568985759,352.73359105089247
44,1060.2090357899328,279.0840049527921
45,1113.508293355333,357.7212384213508
46,990.1375315230788,283.841915478879
47,1075.4633628015,310.1938127760977
48,947.3538640151859,377.9779183702996
49,1032.491783603033,253.34787583781448
50,1062.953369585111,221.83343306208133
51,1122.7487864809152,385.8965913856167
52,1115.467017506722,183.19043440047403
53,1060.8881191223873,365.47457321721805
54,1002.2433257101983,273.5634810466467
55,1076.3352258038046,278.5394560632016
56,1031.4321744607512,374.5062666278341
57,1058.264613641981,262.5936719592509
58,1073.9323348701394,354.5420333525149
59,1048.9221225333956,-123.00304827834367
60,1053.3020857062843,410.8167654330113
61,1048.8879858593605,357.95977853181165
62,888.4811709962332,223.1215202396515
63,1087.2744899558593,301.6217575201989
64,979.6679520318746,315.63522429025244
65,956.4235315832823,242.7267685311408
66,1061.0224268186773,349.427812053375
67,988.732113405081,266.22395843263166
68,1032.512466731722,360.9605107986627
69,1010.3232178344404,357.9428836304245
70,966.9884876721268,194.39619381144817
71,1084.0326496148316,288.5634243361177
72,1053.0472353386917,74.01486840171691
74,1207.9680592856407,547.152156684235
77,1017.6225847230969,481.71259150412146
78,-134.13442227705139,473.42617619015175
80,-42.8722038822016,588.1486120457004
81,-277.58819764107415,731.9983996996177
82,-100.4581275760844,516.4502410866058
83,-64.09446687568659,626.7675775918614
84,-171.13616734128627,486.70159883027605
85,-166.28771310336833,676.0078901957398
86,-137.82798677411293,721.3510110811053
87,-126.23244252328604,533.869432966247
88,-76.21007981962795,635.5889102795915
89,-152.9583816365502,602.2265131679669
90,-220.99112026583137,551.1679591126021
91,-128.08824859142962,639.7957010423255
92,-157.1930607457136,565.1441083692771
93,-43.601976494451144,567.6240858312539
94,-268.5312294664934,455.616169739183
95,-89.62683498309084,529.1875432750846
96,-98.88560819273873,687.1738664756068
97,-220.5031489260125,612.4996121783689
98,-91.08792031570371,444.8013099436518
99,-104.88045890986707,643.4787942655056
100,-205.43109986454863,520.6084335457283
101,-71.68016891154501,604.6627270486855
102,-162.13603371602014,586.764651484045
103,-88.72420655189607,514.9608441295006
106,-62.502996833603525,674.9012213598817
107,-202.42310614767877,645.1397354224806
108,-62.96674731402385,571.0329259658525
109,-153.50813667524326,616.0015862913202
110,-114.86465463184108,525.3126210344566
111,-54.34603274521779,614.5608516650718
112,-172.266057233151,551.6133261262994
114,-72.12441018066075,546.9537461836534
115,-141.65666913369841,621.3067483715184
116,-145.1360718830588,544.6569338281255
117,-64.26305089881323,586.7191090294484
118,-160.07629091643676,628.2320547217491
122,-83.18733251557516,540.1111144453995
123,-89.27648329868805,632.7121466826987
124,-157.19135912525684,551.1733604450242
125,-59.39697242887371,536.8104259716961
126,-129.2110723256304,625.567114554839
127,-156.72716796546368,533.6295798554207
128,-50.90098834960242,577.9636250839164
129,-177.0016940001345,602.2541573512825
131,-103.50412413186228,532.4218975795452
132,-103.51192688568571,628.0980075002984
133,-175.20141063159525,562.5527633891885
134,-52.84982840828298,546.9825136560116
135,-148.8949654721309,634.7454671162741
136,-136.94649760137747,518.0846361498516
137,-86.0811635066523,620.2283162089977
138,-167.0998621966144,574.7052029802893
140,-68.94371025030779,530.6559648278563
141,-118.17125752412802,647.628211544225
142,-140.2035368671384,531.7570516342387
143,-58.051574087972305,603.8577554680321
144,-168.75765211237336,617.0097919192744
145,-112.72887936671857,511.1868243391714
146,-116.10240031335266,631.6657546296218
147,-180.50717180541014,575.0381074062749
148,-66.9838892053337,558.6393443292501
149,-139.02808826837605,642.1508586951891
151,-150.45297625075693,522.486267275537
152,-51.828969296250534,594.8804295054731
154,-177.32784632713495,588.9745678560923
155,-76.74211111547385,521.8801040007654
156,-92.42688806492004,644.0892326178468
157,-167.31659218918114,540.0817423884213
158,-51.98707691899596,559.1735212276284
159,-165.31952509424335,602.7243918299033
160,-125.74812194940623,516.259068614358
162,-72.26251502525135,618.2280380280598
163,-226.18529304750228,580.9674956971083
164,-26.872471611559327,641.0171123678108
195,932.4651430677262,455.50647941527063
196,1352.8050553688415,320.72154222133116
197,1347.4789608033975,372.662357381104
198,1131.2209897794512,668.8396222691351
199,1356.4102581447241,347.3730133097726
200,1423.655213940172,355.47205845013843
201,1360.0219877993254,334.36183778186006
202,1357.4002813167936,360.8413242637846
224,1310.642822751433,54.35256535456184
229,1192.8899220273247,471.75951115685314
230,1293.674160087736,524.0146419528068
233,857.4995428289576,326.7515462423661
234,1358.5360063649498,168.75141579229413
235,1264.0126666599936,191.34130007526406
236,1272.6837133258293,208.86832923804104
239,1188.6620503144784,330.7511557277709
240,1209.8807336452903,277.7697532568394
241,1205.3530816903187,258.7998703970863
242,973.0775656919211,474.45888543361485
