nodes,x,y
12,777.5383789192781,395.2181764916869
527,853.4568932180379,646.7338349579152
2575,836.4745104438355,212.19823884957316
24594,513.262690290367,468.9473869996043
6675,488.74274694734083,479.73435553132725
114196,509.1190425838963,491.8321548078971
129043,580.8933730088042,809.2276431423636
24,774.5195057208275,234.4151879180412
6169,503.83715711150165,435.2092803262288
26,688.9984980466553,251.0611255466741
27,495.5533990117976,465.04891515062593
149530,703.952947009165,284.87085928126714
127517,489.38726940460276,37.811334386451165
3615,539.9213721678641,258.9718773351375
36897,680.5189954709451,267.13434020528706
47138,444.98006517377024,-71.25049802242843
168995,600.053460817327,815.495524554412
97828,671.7655196932034,255.74430237015568
3109,500.0538021010148,447.88162111060217
35880,508.2563493605782,503.13869357842003
6185,878.307851482814,610.6346565522806
51,888.9370869891675,642.6171327702322
10804,520.678878806227,509.96496986343595
33333,490.74368803600316,433.4532287858424
1083,615.975583545846,815.9405044166961
5693,672.8698259357794,348.4525236660236
63,530.499159138366,207.4193576443888
2114,583.7365699652903,351.49091877982136
66117,478.75284131321285,442.6168574115529
71,825.8732164522161,602.7536408734586
11847,755.5393402079445,453.0557261847809
10313,493.857046551131,393.46956618047864
10314,483.5730069853133,468.06327045256927
75,640.8708073396974,295.8086242526313
112199,663.1604010689584,221.42771407986785
77,611.5526729180915,743.5117714306201
9813,807.4203332170866,177.74578990714465
19541,486.4502763153731,405.66779026343784
6746,478.2343563294149,456.2573217629873
93275,514.1154242176841,32.73816633928112
32350,592.5990785653307,805.9758693560336
96,517.015813968149,99.03992366489831
26208,210.90233171224602,418.9706942988663
43105,853.2355227037282,672.4080919355611
616,678.9875927383094,226.24288744174464
67180,555.6681888943609,390.1396801006893
168556,670.8309292497189,235.4614501965292
21102,625.8370693091063,794.5466207085934
111,269.6032344753458,380.3478279330265
24688,480.6606980082519,417.5590762029928
113,219.5819007870859,410.51624087494594
17009,696.2599665419363,319.1691374213303
5747,701.8951486934506,532.4193079192124
332916,822.9585217025242,198.27158106758841
36981,478.5145068115729,430.57105248506565
91770,492.2383861041794,418.86895125562876
635,712.6370363715981,269.2227710239341
4224,502.5980943438773,4.6587818309713
644,675.247126917829,450.8573962182403
134,462.7262511849283,-10.850741263640975
6280,690.3103047095575,234.7299044090291
11912,715.7621784623421,284.0634586915282
139,626.7009355819464,523.6793358250752
51852,562.4224840354472,787.7682448702
2706,708.1017528406771,320.9909838510522
5786,573.4792364656938,338.6922745891863
668,570.567728827891,176.05412923294546
157,849.4982920420663,301.34678079523815
158,763.1116184126079,304.30746814765416
1185,501.3247536325094,477.21008696129417
2209,489.0100883236992,451.38481124826933
74915,613.3769160631224,249.81033973576135
82084,495.9800409190013,490.82632022804904
151714,629.2167436741391,808.8090300472605
6310,842.0470883029985,662.7592347228817
169,565.7642922079739,433.46178422045455
113834,587.6118258381506,792.887024251851
1708,597.0862004447564,489.267128187671
70317,528.2302071164219,473.4387242558722
178,671.5270257419369,537.0210775188697
5299,837.7818942801908,674.0940649722155
46260,576.1000745282945,784.5140862564598
23735,533.553140862009,512.4475520144182
6840,586.840287913018,236.33299265981063
2233,881.3102415527693,654.3902653214221
1210,838.4399551220798,650.3061438491568
17593,614.0877569359591,228.47622312730266
31927,582.1654389666415,509.0915830483361
35007,644.4494389896929,245.95309928521988
704,700.5943425475863,244.67233237431725
