nodes,x,y
0,908.0817012997273,582.3911133577666
1,755.4735279601791,187.24367178851
2,1053.261346610669,345.2311164088413
3,615.3028415008262,513.3919752089666
4,741.4920134154952,29.858128535861592
5,973.8648414735833,717.1956165127875
6,889.4209498421636,630.7800358382148
7,435.6784133911179,576.6155129946136
8,865.1147666722205,575.5631707411078
9,1052.0670317800675,260.3796853515444
10,1192.8819732603706,361.8723544059203
11,953.1332576279729,659.3797896379361
12,724.3960587794377,-20.077801353763423
13,1036.6676470715224,769.204691064289
14,1004.4138155759819,364.84191123624083
15,1010.0645718922934,823.4252434120413
16,1035.6819111794073,302.51283874676125
17,969.4223347554893,636.3467856882348
18,707.4273004820018,99.42335838041461
19,466.59272978001167,579.7609136885461
20,1076.8683816974965,385.63095492892944
21,954.1375163333138,765.5582188787679
22,927.0827003862449,809.0831723037711
23,958.3039305281055,818.2319783532245
24,400.86743731188216,586.7903913086745
25,402.4067591333967,657.4336848240806
26,739.6728191616845,81.42861598118434
27,465.1721305250903,620.538789205484
28,996.6328815235368,739.3237508293945
29,1097.2107646962504,252.93031571710839
30,1021.2103078119335,703.255870014107
31,372.87060616884924,557.1849930300245
32,1033.1895195551992,396.6906905406019
33,434.62744693979573,664.0539558941606
34,1008.6697062290932,336.53631288271674
35,494.2974449514812,651.7825525974528
36,491.5573359162058,518.4889497957743
37,942.4910928919895,816.8979160645996
38,997.214012543707,773.713729146159
39,1148.8331321351648,304.7881691001654
40,1086.2699759076304,301.41031933925706
41,487.4271721516779,615.6835905759807
42,900.6239380664439,674.606536502069
43,518.2724790855142,569.6210979778916
44,778.7126807375463,66.36067605863978
45,1093.9490300692785,326.5207000098027
46,718.3360136452679,79.16382710936603
47,1018.2913570491252,314.7696321961874
48,463.75426398951197,642.0168050008735
49,1184.5949927615238,269.2849365724805
50,933.2678356992063,695.9454823767777
51,691.1461845854988,160.22763011342934
52,1022.8688748584866,377.2926747624462
53,679.860699463612,114.1138348328808
54,1123.332102715112,290.47316021574346
55,1240.664704461527,269.24531536251897
56,1100.8733044501264,273.2344282737912
57,1246.5156038765094,217.4914186223778
58,335.69676980580545,636.9375602520472
59,413.68504983959843,546.9699751342366
60,1147.213597018146,385.89337950971384
61,789.9277087617922,212.5755048959826
62,338.34777010222155,565.4784831352866
63,658.9117773006353,47.98918618761131
64,781.387945509639,-7.565239057699511
65,1061.8479213737064,289.2098741367992
66,1056.5451214804182,391.41382568318045
67,869.8617772754329,605.6583501406852
68,520.8119648195271,628.4268381180358
69,651.3488082632825,83.57104002236693
70,400.70731637947733,519.8873330206724
71,554.437584356356,502.0629468557162
72,788.3566248078407,37.55382840285964
73,688.3155447416246,15.857416113866464
74,733.4966525121081,225.5581100011593
75,974.4038804331501,813.2758095844312
76,962.6175757360327,687.0498456126114
77,1142.3288964176043,404.8277921251938
78,1041.4012005256013,795.9028552123946
79,700.9470716417568,139.27455950701983
80,1175.527489148594,446.07090894621774
81,1113.997028825007,330.67537921437304
82,713.8533892657443,204.0675159408023
83,421.3689245984182,609.0272096383052
84,449.56473646447614,676.9292210347761
85,1101.6698012436143,366.12637537000194
86,431.3828331429273,630.2596091308827
87,673.4262419753775,157.4760714670609
88,1291.442366245552,184.7455224382033
89,727.0685148591357,140.00159069046367
90,1192.8193118010138,424.9094972342367
91,1152.635368843129,222.6199093063091
92,529.0905690983457,587.0778690150161
93,749.4307036587212,101.4430776681395
94,744.6397060331403,-22.907743612217626
95,950.6764374741001,587.254948799155
96,440.5437411372185,539.9796711002007
97,1252.9840706786226,318.2097458124026
98,940.2365183160376,729.0534962047624
99,805.6709304464002,20.76017106035956
101,767.166280208098,125.61771328891562
102,348.4780979078808,597.8796893763695
103,1218.0406560944477,400.02184037229904
104,1290.9177482458897,250.83880982203692
105,542.1284171386357,610.1879692545511
106,797.3927569236914,172.5867714792272
107,786.2145070974847,114.53027329541912
108,1286.127760084855,363.0205522131587
109,1305.7203919733852,312.6799483920428
110,1339.8602930235284,372.71726250607685
111,635.3953796132475,109.08053591332585
112,391.0883485962989,611.4257902415821
113,566.1565110879701,591.2780547932017
114,1127.8962672796206,357.9728170744347
115,284.9691163807459,562.7770912259019
116,1158.3317800822228,332.1240686664543
117,539.9220995270356,541.6189710147113
119,912.4653461447922,736.8816768507704
