nodes,x,y
512,985.8347800418455,601.7663152107648
1,1010.0080615518596,662.1335425286483
2,863.7608344749494,602.0776850567497
3,947.3985487575048,422.9324382361523
4,1026.8628144748116,653.5680984407965
514,702.3719699288964,317.7195607280943
516,518.115495698914,434.73728259648175
518,759.2819168501309,243.32823931059346
520,886.1798294758976,396.7380923252988
10,859.2442168615289,376.0656668926752
13,732.673583563096,885.281308577574
14,704.925687647694,653.3539555581974
525,860.3718255519276,190.61732857873085
16,758.4639430073667,222.4431379684912
526,527.0087126909535,132.75301610785272
18,709.1543952323517,504.1337868932406
531,707.7933552268718,158.19917408605522
20,1278.1916066625233,387.70779258523453
21,1232.2776784037048,404.29118735951107
532,1184.1292573071669,425.85073341925744
534,1304.038519038237,397.2857942461582
536,1180.617413057277,507.90999573829765
537,624.8414341005077,227.3322343777951
538,884.004193640211,474.9411551369164
539,978.6183417740841,121.42096511494624
540,1208.7864481974314,487.3084524868289
30,921.2564476982621,223.5448875323454
31,985.1797050444792,365.92112545413175
542,859.9396158279656,328.86741945716165
33,1184.1489710025755,406.5655964003139
544,682.0213234118646,616.6149539654166
545,692.9684828639719,882.9977960721455
548,1346.8425194223491,383.770358690947
549,987.8195920014344,107.76209123061793
39,1000.7154061390254,102.51800205595312
41,1002.1940728849416,556.2773289046692
43,1035.186290492763,633.9649712250724
555,427.4432782312978,312.2070204354591
45,575.4999561798486,431.1277148601259
46,1038.4563236496347,462.94060830884695
556,344.14956031044284,469.0130014869261
557,1051.2928676229237,310.7709507344048
49,1006.5038042956386,651.1609166571008
50,920.727662157142,554.1237196664895
51,563.8593940517152,445.1044261647642
559,824.2629834345614,780.6464415916902
560,951.6947878612754,717.4478465340366
561,798.065336100062,362.5603898914782
564,687.5487776876682,629.2105403802213
566,515.5146565842107,459.4764857483401
57,723.2869126132867,219.8770072319888
567,480.2067536309032,555.5899599406564
568,571.4272173057667,577.6140875804318
570,1148.1263605635668,658.4141101723864
61,861.2572925694475,259.9942745365142
571,734.7172313418915,647.3358183842614
63,524.3948068393443,690.4346611957895
578,519.3525138597457,192.01551548083637
67,528.0765439825899,652.0809344926811
579,1042.3330840771962,441.15868909550346
580,904.7936115723614,384.1450408871786
70,1217.8460546499264,472.221344155336
71,1006.5458716222666,117.11678460258604
581,1017.8897223609013,110.99651795332555
584,997.0976198089126,245.52141612042195
74,993.1147763735917,119.65374183786311
75,450.68207402371496,420.684317523418
585,719.1037238600275,889.2046103757906
77,643.6642733684278,629.1145443499803
586,677.8706898488654,268.3343542900588
589,680.7812313116813,598.6372394737806
80,1013.3662957804737,98.01130085475782
81,991.1759495253607,658.7497852214905
82,1091.786455806931,224.97954378253846
590,560.8082486661671,474.0616263714626
86,377.5301839116831,393.86838390005846
599,1064.181578231049,489.2454054402342
94,879.3244670422872,332.2834502334442
607,578.0920432128092,680.7572441916734
97,989.467985313246,767.7150446476254
98,1052.7252846321574,228.41746383400977
99,776.3806986020878,617.1867170484073
609,1124.1373073943907,592.2611642438561
101,556.0144342078619,141.19054094550893
102,494.4509724863816,34.170938632489246
618,902.6684377620907,292.75951208281936
108,579.2974303296826,494.2729322171194
622,1139.0062822964298,565.6131702728121
623,751.0571831704326,307.85811943974505
626,652.3303986020445,134.4626690157884
120,953.8474952176406,363.02529951719646
124,603.5156283730513,626.4434602018229
637,542.2854274956924,709.965647696891
126,653.7059579210629,289.61921726536525
639,971.9967645440595,290.23144803876966
129,548.0975182471564,614.3693137177869
642,714.5060741105551,737.3756758558136
131,1027.5476441302776,100.79795617171885
132,730.2411381726407,612.1342370961289
643,818.4656880199117,87.46133043762666
645,763.589396612655,644.75559329121
137,1007.8851806263613,170.40376459028855
138,1016.5434405450344,351.3899363961608
651,828.2473249041315,149.682861996032
654,1276.1532048059764,658.7498675236357
655,962.5887892635193,778.9324754821844
144,863.2126685787229,307.90737988794007
145,736.9184888146826,-22.562317502154873
657,979.1282612385404,509.76148728877956
658,570.8211124739714,131.32034586251632
659,1206.429124146213,623.7874977754212
149,1216.799455264839,452.7506107881357
151,731.9801930585709,260.4182812384952
152,848.7575500139008,419.6741278364513
154,568.3904631240099,460.96399099681247
669,526.4328774863817,556.2015996767716
158,615.8598628010615,459.71889722078345
159,486.8530375543324,329.4149716904632
672,671.589990570344,363.8545402018674
161,749.1157529267981,642.0788582129296
675,667.4633506721696,126.54262572061953
676,601.5054980524801,587.5004616497995
165,1052.709633908013,563.9946981431588
679,705.7326859641054,889.2751112303142
168,1099.9414584636645,142.40854272364837
169,802.8414324736481,723.498019353136
172,1161.4227924749748,360.90692235175396
684,701.6477518552224,638.56506261066
686,992.6017888740435,445.3248744407188
687,830.8851596269835,88.9721806040461
688,661.2467303506571,380.20919747087623
689,569.4667022594264,483.88354916628634
179,533.9333818837102,91.08074296864562
180,511.3573306114897,556.3354155684731
181,606.5525339204812,568.3514101328396
691,1116.6857721127726,368.69909879626084
692,806.8831508719289,94.91853465606742
693,727.5313186521481,596.4549704711446
696,1038.7501122271542,259.58276748351733
697,950.990308876251,481.3662171322126
189,1170.2303555093004,388.7189213397358
701,1051.2822973709185,139.2825085799115
702,1012.3782587879451,259.19419843168475
192,1173.9476367713135,400.0643162641876
703,842.8758738432916,328.9592692308782
194,1036.7856062419082,115.88735590959394
705,691.5467192846758,104.00739847122523
706,1026.112786738085,122.73409905761459
708,1026.4099686787358,413.62520783094266
199,649.0705181357243,778.071590549698
200,424.49667065408346,469.7100701669793
714,432.4150237386429,538.7340668618436
206,699.6519195279787,-15.618764808684169
211,763.5325704924534,626.8868597957585
213,1022.9830236189191,642.016676503662
726,1325.2191469876336,697.3068896147089
728,739.6021595760892,470.8052150077
221,1017.8097552589693,544.5922506122723
222,1320.9195347809105,472.7883907957204
223,710.1942943092517,398.7605718069456
733,442.51891490937896,369.98238996120887
229,595.8249983441382,182.49418050746118
741,948.322495961344,245.13572088361383
233,820.1372508932615,351.9753195441664
745,1176.4546327872974,334.46614016780103
751,513.4913042458719,108.28047432417362
752,653.6646414698254,188.57931248096855
241,577.6597410076956,418.10420506807594
755,422.2239854977583,639.8523371711321
756,692.5963435779944,466.41806630160846
247,1105.5889291155688,285.8455721977731
248,893.7666074131432,342.9235932571517
759,1002.5389013351696,218.28767831554904
760,1118.718381165337,520.6409902138114
252,720.3613058395414,674.2589240889033
253,425.4457270491755,626.2923185173844
255,835.7045361235865,554.3742339056473
259,557.736800027722,712.5454334598347
263,977.0183068610278,775.6809909365335
264,1041.72701427054,128.94060109834925
266,1289.7288900629442,299.8095526527467
268,1061.4047486669624,152.19498326967982
280,903.4965995429799,359.70856030905395
284,773.3863781155258,634.5154957146674
285,829.6561631670279,337.30099107030236
288,717.1689466741258,644.4942879055587
289,1026.1860121385976,481.4847305953216
295,554.0300174244076,692.7639506886197
297,774.9178499221107,600.0377863742896
299,517.090952993904,600.9347766870841
300,716.0962177631145,825.6417767268606
303,433.65464755093683,645.3437232606716
304,1040.4400634075598,103.89060945284672
308,723.0356518386386,-25.341056448813575
310,534.0109375974644,699.5465212860029
314,1097.3502205211416,272.4135227144225
