nodes,x,y
0,624.1707196365921,388.6117766329104
1,606.0618087755357,502.63980697690516
84,640.0736583431617,277.26495100965104
4,568.8558556995066,557.509690699933
5,562.9582842297056,545.2594306847785
6,582.0882609794197,559.0452895565746
7,588.1486077012804,570.7752775798556
8,549.6042431886825,540.6692436713469
9,556.9450602674422,459.7925826135639
10,547.5084393491447,481.8470774954398
11,559.2352970839164,473.6251066025412
12,569.7127118506991,454.44504221621537
13,540.3269157272881,494.3615966992225
14,668.7351168249418,520.6108185473058
15,659.0240593937842,541.2202991694602
16,662.7231683476077,507.4758415121978
17,655.952695831258,527.6630051673201
18,651.2853684071478,552.3339106205061
51,674.6599778782758,501.3087542602611
85,602.1638953492471,300.5328136947072
86,619.948268651632,232.73629058155385
87,683.404019878157,250.99009015726273
88,592.9452316139227,279.3771801118803
89,642.4953217944412,229.69691129275733
90,688.4763077032998,280.5199597003672
91,599.6305490567981,247.6081731352912
92,664.9734753391809,233.72218112064766
93,682.0711268421292,297.8691670817074
94,630.2075536167745,224.80524724668533
95,688.2614093730404,264.50777416752953
96,593.4875446519621,261.74227797817645
97,654.4002728044469,224.97386459361553
98,663.5774387095748,314.70399325079376
99,607.6606106324522,236.74095230908
100,675.0560884229724,240.22527203286575
24,537.7894394332915,592.9465747511834
25,508.99597251371824,452.06575978849224
26,707.1522336444367,546.1942513507995
42,618.2186754999752,546.1882981570814
67,564.1981444380746,512.6343349178313
